id_us;nombre;nombre1;correo;usuario;edad;fk_ciudad
11;Andres;Andres;asfasfsf;usrr;22;1
12;Andres;Juan;Andresj@gmail.com;usrr;24;2
13;Andres;Julian;Andresju@gmail.com;usrrJu1;21;3
14;Andres;Ricardo;Andresju@gmail.com;usrrJu2;18;4
15;Andres;Lorenzo;AndresLor@gmail.com;usrrJu3;18;4
16;Andres;Carlos;AndresLCar@gmail.com;usrrJu4;20;1
17;Andres;Juan;AndresLJuann@gmail.com;usrrJu5;22;1
18;Andres;Mauricio;AndresMar@gmail.com;AndresMar;22;2
19;Andres;Ricardo;AndresRicc@gmail.com;AndresRicc;21;3
20;Andres;Renato;AndresRenato@gmail.com;AndresRenato;25;3
21;Andrea;Juliana;AndreaJuli@gmail.com;AndreaJuli;26;4
22;Andrea;Marcela;AndreMar@gmail.com;Andreamar;26;4
23;Andrea;Cata;AndreCatya@gmail.com;AndreCatya;19;4
24;Andrea;Julieta;AndreJulieta@gmail.com;AndreJulieta;21;5
25;Andrea;Helena;AndreHelena@gmail.com;AndreHelena;23;5
26;Andrea;Eugenia;AndreEugenia@gmail.com;AndreEugenia;23;5
27;Victoria;Andrea;VicAndrea@gmail.com;VicAndrea;25;1
28;Victoria;Camila;Vicam@gmail.com;Vicam;25;2
29;Victoria;Cata;Vicat@gmail.com;Vicam;27;3
30;Victoria;Paola;ViPa@gmail.com;ViPa;28;3
31;Victoria;Pamela;ViPam@gmail.com;ViPam;29;4
32;Victoria;Andrea;ViAn@gmail.com;ViAn;29;5
33;Victoria;Ana;ViAna@gmail.com;ViAna;29;1
34;Pedro;Daniel;PedroDan@gmail.com;PedroDan;29;2
35;Pedro;Esteban;PedroEs@gmail.com;PedroDan9;26;3
36;Pedro;Andres;PedroAn@gmail.com;PedroDan58;27;4
37;Pedro;Camilo;PedroCam@gmail.com;PedroDan4;24;5
38;Pedro;Andres;PedroAndress@gmail.com;PedroAndress;24;1
39;Pedro;Julian;PedroJus@gmail.com;PedroJus;22;2
40;Pedro;Augusto;PedroJAugus@gmail.com;PedroJAugus;29;2
41;Ana;Maria;AnaMar@gmail.com;AnaMar;24;1
42;Ana;Milena;AnaMil@gmail.com;AnaMi;24;2
43;Ana;Camila;AnaCamil@yahoo.com;AnaCamil;23;3
44;Ana;Cata;AnaCata@yahoo.com;AnaCata;25;4
45;Ana;Catalina;AnaCatana@yahoo.com;AnaCatana54;27;5
46;Daniel;Melero;DanielMelero@yahoo.com;AnaCatana;30;5
47;Daniel;Camilo;DanieCami@yahoo.com;DanieCami221;30;1
48;Daniel;Carlos;DanieCar@yahoo.com;DanieCami;28;2
49;Daniel;Esteven;DanieEs@yahoo.com;DanieEs;29;3
50;Daniel;Steven;DanieS@yahoo.com;DanieEs;26;2
